Tokenized_Query,Tokenized_Answer
"['areas', 'theoretical', 'mathematicians', 'focus', '?']","['Theoretical', 'mathematicians', 'focus', 'increasing', 'basic', 'knowledge', '``', 'pure', ""''"", 'fields', 'like', 'abstract', 'algebra', ',', 'analysis', ',', 'topology', '.']"
"['areas', 'applied', 'mathematicians', 'work', '?']","['Applied', 'mathematicians', 'use', 'tools', 'calculus', ',', 'analysis', ',', 'computing', ',', 'statistics', ',', 'operations', 'research', 'solve', 'problems', 'science', ',', 'industry', ',', 'government', ',', 'areas', '.']"
"['might', 'students', 'like', 'mathematics', 'enjoy', 'program', 'Pennsylvania', 'State', 'University', '?']","['Students', 'like', 'mathematics', 'may', 'enjoy', 'program', 'Pennsylvania', 'State', 'University', 'offers', 'study', 'mathematics', 'emphasizes', 'problem', 'analysis', ',', 'precision', 'thought', 'expression', ',', 'development', 'mathematical', 'skills', 'needed', 'work', 'various', 'areas', '.']"
"['Program', 'Requirements', 'minor', '?']","['Program', 'Requirements', 'minor', 'include', 'least', '26-28', 'credits', ',', 'grade', 'C', 'better', 'required', 'courses', '.', 'Additionally', ',', 'least', 'six', 'credits', 'minor', 'must', 'unique', 'prescribed', 'courses', 'required', 'student', ""'s"", 'major', '.']"
"['Prescribed', 'Courses', 'minor', '?']","['Prescribed', 'Courses', 'minor', 'include', 'MATH', '140', '-', 'Calculus', 'Analytic', 'Geometry', ',', 'MATH', '141', '-', 'Calculus', 'Analytic', 'Geometry', 'II', ',', 'courses', 'like', 'MATH', '220', ',', 'MATH', '230', ',', 'MATH', '231', ',', 'MATH', '232', ',', 'MATH', '250', ',', 'MATH', '251', ',', 'MATH', '310', ',', 'MATH', '311W', ',', 'MATH', '312', '.']"
"['Additional', 'Courses', 'taken', 'minor', '?']","['Additional', 'Courses', 'taken', 'minor', 'require', 'grade', 'C', 'better', 'include', 'selecting', '6-8', 'credits', 'courses', 'like', 'MATH', '220', ',', 'MATH', '230', ',', 'MATH', '231', ',', 'MATH', '232', ',', 'MATH', '250', ',', 'MATH', '251', ',', 'MATH', '310', ',', 'MATH', '311W', ',', 'MATH', '312', '.']"
"['Supporting', 'Courses', 'Related', 'Areas', 'minor', '?']","['Supporting', 'Courses', 'Related', 'Areas', 'minor', 'require', 'grade', 'C', 'better', 'involve', 'selecting', '12', 'credits', '400-level', 'MATH', 'courses', '.']"
"['purpose', 'Academic', 'Advising', 'university', '?']","['purpose', 'Academic', 'Advising', 'university', 'help', 'advisees', 'identify', 'achieve', 'academic', 'goals', ',', 'promote', 'intellectual', 'discovery', ',', 'encourage', 'students', 'take', 'advantage', 'educational', 'opportunities', 'classroom', '.']"
"['advisers', 'advisees', 'work', 'together', 'succeed', 'advising', 'relationship', '?']","['Advisers', 'advisees', 'work', 'together', 'sharing', 'responsibility', ',', 'encouraging', 'engagement', 'education', ',', 'meeting', 'educational', 'goals', ',', 'developing', 'habit', 'learning', 'succeed', 'advising', 'relationship', '.']"
"['role', 'advisers', 'play', 'academic', 'advising', 'process', '?']","['Advisers', 'play', 'significant', 'educational', 'role', 'providing', 'advisees', 'information', 'needed', 'plan', 'chosen', 'program', 'study', ',', 'making', 'referrals', 'specialized', 'resources', ',', 'helping', 'advisees', 'become', 'self-directed', 'learners', 'decision', 'makers', '.']"
"['students', 'find', 'information', 'university', ""'s"", 'Advising', 'Policy', '?']","['Students', 'find', 'information', 'university', ""'s"", 'Advising', 'Policy', 'Senate', 'Policy', '32-00', ':', 'Advising', 'Policy', ',', 'available', 'https', ':', '//senate.psu.edu/policies-and-rules-for-undergraduate-students/32-00-advising-policy/', '.']"
"['minimum', 'grade', 'required', 'courses', 'minor', '?']","['minimum', 'grade', 'required', 'courses', 'minor', 'grade', 'C', 'better', '.']"
"['many', 'credits', 'required', 'Supporting', 'Courses', 'Related', 'Areas', 'minor', '?']","['12', 'credits', '400-level', 'MATH', 'courses', 'required', 'Supporting', 'Courses', 'Related', 'Areas', 'minor', '.']"
"['contact', 'information', 'Mathematics', 'Department', 'University', 'Park', '?']","['contact', 'information', 'Mathematics', 'Department', 'University', 'Park', '104', 'McAllister', 'Building', ',', 'University', 'Park', ',', 'PA', '16802', ',', 'phone', 'number', '814-865-7528', 'email', 'undergrad', '@', 'math.psu.edu', '.']"
"['Program', 'Chair', 'Microbiology', ',', 'B.S', '.', 'program', 'Harrisburg', '?']","['Thang', 'Bui', ',', 'Ph.D.', 'Program', 'Chair', 'Microbiology', ',', 'B.S', '.', 'program', 'Harrisburg', ',', 'located', '612', 'Microbiology', ',', 'Olmsted', 'Building', ',', 'Middletown', ',', 'PA', '17057', ',', 'phone', 'number', '717-948-6088', 'email', 'flv', '@', 'psu.edu', '.']"
"['examples', 'career', 'paths', 'studying', 'medical', 'food', 'microbiology', 'prepare', 'students', '?']","['Studying', 'medical', 'food', 'microbiology', 'help', 'prepare', 'students', 'careers', 'pharmaceutical', ',', 'biotechnical', ',', 'agricultural', 'industries', '.']"
"['focus', 'studying', 'microbiology', '?']","['focus', 'studying', 'microbiology', 'microscopic', 'organisms', 'interact', 'organisms', 'environment', '.']"
"['students', 'find', 'information', 'interested', 'learning', 'interplay', 'infectious', 'disease', 'immune', 'response', '?']","['Students', 'find', 'information', 'Altoona', 'Division', 'Mathematics', 'Natural', 'Sciences', ',', 'located', 'Hawthorn', 'Building', '115', ',', '3000', 'Ivyside', 'Park', ',', 'Altoona', ',', 'PA', '16601', ',', 'phone', 'number', '814-949-5558', 'email', 'mdw8', '@', 'psu.edu', '.']"
