Tokenized_Query,Tokenized_Answer
"['examples', 'minors', 'related', 'agriculture', '?']","['examples', 'minors', 'related', 'agriculture', 'include', 'Plant', 'Pathology', ',', 'Poultry', 'Avian', 'Science', ',', 'Agribusiness', 'Management', ',', 'Wildlife', 'Fisheries', 'Science', '.']"
"['degrees', 'offered', 'field', 'turfgrass', 'management', '?']","['degrees', 'offered', 'field', 'turfgrass', 'management', 'include', 'Advanced', 'Certificate', 'Turfgrass', 'Management', ',', 'Basic', 'Certificate', 'Turfgrass', 'Management', ',', 'Associate', 'Science', 'Turfgrass', 'Science', 'Management', '.']"
"['degree', 'program', 'Veterinary', 'Biomedical', 'Sciences', '?']","['degree', 'program', 'Veterinary', 'Biomedical', 'Sciences', 'Bachelor', 'Science', '.']"
"['examples', 'certificates', 'related', 'agriculture', '?']","['examples', 'certificates', 'related', 'agriculture', 'include', 'Advanced', 'Certificate', 'Turfgrass', 'Management', 'Basic', 'Certificate', 'Turfgrass', 'Management', '.']"
"['degree', 'program', 'Agricultural', 'Science', '?']","['degree', 'program', 'Agricultural', 'Science', 'Bachelor', 'Science', '.']"
"['examples', 'minors', 'related', 'wildlife', 'fisheries', '?']","['examples', 'minors', 'related', 'wildlife', 'fisheries', 'include', 'Wildlife', 'Fisheries', 'Science', 'Wildlife', 'Fisheries', 'Science', '.']"
"['degree', 'program', 'Agricultural', 'Extension', 'Education', '?']","['degree', 'program', 'Agricultural', 'Extension', 'Education', 'Bachelor', 'Science', '.']"
"['degree', 'program', 'Wildlife', 'Technology', '?']","['degree', 'program', 'Wildlife', 'Technology', 'Associate', 'Science', '.']"
"['degree', 'program', 'Agribusiness', 'Management', '?']","['degree', 'program', 'Agribusiness', 'Management', 'Bachelor', 'Science', '.']"
"['degree', 'program', 'Plant', 'Sciences', '?']","['degree', 'program', 'Plant', 'Sciences', 'Bachelor', 'Science', '.']"
"['examples', 'minors', 'related', 'arts', 'architecture', '?']","['examples', 'minors', 'related', 'arts', 'architecture', 'include', 'Architectural', 'History', ',', 'Architecture', 'Studies', ',', 'Art', 'History', ',', 'Landscape', 'Architecture', '.']"
"['major', 'Pharmacology', 'Toxicology', '?']","['major', 'Pharmacology', 'Toxicology', 'B.S', '.']"
"['give', 'examples', 'minors', 'field', 'art', '?']","['Examples', 'minors', 'field', 'art', 'include', 'Art', 'History', ',', 'Art', ',', 'Graphic', 'Design', '.']"
"['major', 'Acting', '?']","['major', 'Acting', 'B.F.A', '.']"
"['minor', 'focuses', 'Digital', 'Arts', 'Media', 'Design', '?']","['minor', 'focuses', 'Digital', 'Arts', 'Media', 'Design', 'Digital', 'Arts', 'Media', 'Design', '.']"
"['examples', 'courses', 'satisfy', 'Cultures', 'requirement', '?']","['examples', 'courses', 'satisfy', 'Cultures', 'requirement', 'include', 'COMM', '451', ',', 'COMM', '452', ',', 'COMM', '453', ',', 'COMM', '454', ',', 'COMM', '455', ',', 'COMM', '495', ',', 'COMM', '496', '.']"
"['major', 'Architecture', '?']","['major', 'Architecture', 'B.Arch', '.']"
"['provide', 'examples', 'minors', 'related', 'technology', 'science', '?']","['Examples', 'minors', 'related', 'technology', 'science', 'include', 'Mushroom', 'Science', 'Technology', 'Off-Road', 'Equipment', '.']"
"['major', 'Art', 'Education', '?']","['major', 'Art', 'Education', 'B.S', '.']"
"['minor', 'focuses', 'One', 'Health', '?']","['minor', 'focuses', 'One', 'Health', 'One', 'Health', '.']"
"['examples', 'minors', 'offered', 'Music', 'department', '?']","['examples', 'minors', 'offered', 'Music', 'department', 'include', 'Music', 'Performance', ',', 'Music', 'Studies', ',', 'Music', 'Technology', ',', 'Music', 'Landscape', 'Architecture', '.']"
"['degree', 'program', 'students', 'interested', 'Musical', 'Theatre', '?']","['degree', 'program', 'students', 'interested', 'Musical', 'Theatre', 'Bachelor', 'Fine', 'Arts', '(', 'B.F.A', '.', ')', 'Musical', 'Theatre', '.']"
"['provide', 'examples', 'certificates', 'offered', 'College', 'Communications', '?']","['Examples', 'certificates', 'offered', 'College', 'Communications', 'include', 'Museum', 'Studies', 'Geographic', 'Information', 'Science', '.']"
"['examples', 'Bachelor', 'Arts', '(', 'B.A', '.', ')', 'programs', 'Theatre', 'department', '?']","['examples', 'Bachelor', 'Arts', '(', 'B.A', '.', ')', 'programs', 'Theatre', 'department', 'include', 'Theatre', 'Geography', '.']"
"['degree', 'program', 'students', 'interested', 'Professional', 'Photography', '?']","['degree', 'program', 'students', 'interested', 'Professional', 'Photography', 'Bachelor', 'Design', '(', 'B.Des', '.', ')', 'Professional', 'Photography', '.']"
"['examples', 'minors', 'offered', 'Geography', 'department', '?']","['examples', 'minors', 'offered', 'Geography', 'department', 'include', 'Geographic', 'Information', 'Science', ',', 'Geography', ',', 'Geophysics', '.']"
