Tokenized_Query,Tokenized_Answer
"['examples', 'courses', 'satisfy', 'Cultures', 'requirement', '?']","['examples', 'courses', 'satisfy', 'Cultures', 'requirement', 'include', 'COMM', '451', ',', 'COMM', '452', ',', 'COMM', '453', ',', 'COMM', '454', ',', 'COMM', '455', ',', 'COMM', '495', ',', 'COMM', '496', '.']"
"['language', 'options', 'available', 'students', 'interested', 'East-European', 'language', 'civilization', 'minor', '?']","['language', 'options', 'available', 'students', 'interested', 'East-European', 'language', 'civilization', 'minor', 'include', 'Russian', ',', 'Polish', ',', 'Ukrainian', '.']"
"['different', 'tracks', 'students', 'choose', 'East-European', 'language', 'civilization', 'minor', '?']","['Students', 'choose', 'Track', '3', ':', 'POL', '3', 'Level', 'Two', 'Polish', ',', 'Track', '4', ':', 'RUS', '3', 'Intermediate', 'Russian', ',', 'Heritage', 'Russian', '.']"
"['importance', 'studying', 'abroad', 'East-European', 'language', 'civilization', 'minor', 'program', '?']","['Studying', 'abroad', 'strongly', 'encouraged', 'East-European', 'language', 'civilization', 'minor', 'program', 'enhance', 'students', ""'"", 'cultural', 'linguistic', 'experiences', '.']"
"['career', 'opportunities', 'students', 'complete', 'East-European', 'language', 'civilization', 'minor', '?']","['Students', 'complete', 'East-European', 'language', 'civilization', 'minor', 'pursue', 'careers', 'specialists', 'commerce', ',', 'industry', ',', 'journalism', ',', 'education', ',', 'various', 'governmental', 'international', 'agencies', '.']"
"['minimum', 'grade', 'requirement', 'courses', 'East-European', 'language', 'civilization', 'minor', '?']","['minimum', 'grade', 'requirement', 'courses', 'East-European', 'language', 'civilization', 'minor', 'grade', 'C', 'better', '.']"
"['supporting', 'courses', 'related', 'East-European', 'language', 'civilization', 'minor', '?']","['supporting', 'courses', 'related', 'East-European', 'language', 'civilization', 'minor', 'include', 'history', ',', 'political', 'science', ',', 'economics', ',', 'related', 'disciplines', '.']"
"['many', 'credits', 'required', 'East-European', 'language', 'civilization', 'minor', '?']","['East-European', 'language', 'civilization', 'minor', 'requires', '26-28', 'credits', '.']"
"['unique', 'feature', 'East-European', 'language', 'civilization', 'minor', 'terms', 'language', 'study', '?']","['unique', 'feature', 'East-European', 'language', 'civilization', 'minor', 'students', 'study', 'several', 'East-European', 'languages', 'combination', 'content', 'courses', 'related', 'region', '.']"
"['link', 'Senate', 'Policy', 'specifying', 'requirements', 'East-European', 'language', 'civilization', 'minor', '?']","['Senate', 'Policy', '59-10', 'specifies', 'requirements', 'East-European', 'language', 'civilization', 'minor', 'found', 'https', ':', '//senate.psu.edu/policies-and-rulesfor-undergraduate-students/59-00-minors-and-certificates/', '#', '59-10', '.']"
"['Prescribed', 'Courses', 'Russian', 'Culture', 'Civilization', 'requirement', '?']","['Prescribed', 'Courses', 'Russian', 'Culture', 'Civilization', 'requirement', 'include', 'RUS', '3', 'Intermediate', 'Russian', ',', 'RUS', '410', 'Heritage', 'Russian', ',', 'RUS', '200', 'Intermediate', 'Russian', 'II', ',', 'RUS', '401', 'Advanced', 'Russian', '.']"
"['Additional', 'Courses', 'required', 'Russian', 'Culture', 'Civilization', 'track', '?']","['Additional', 'Courses', 'required', 'Russian', 'Culture', 'Civilization', 'track', 'include', 'selecting', 'one', 'following', 'tracks', ':', 'Track', '1', '(', 'RUS', ')', 'Track', '2', '(', 'UKR', ')', '.']"
"['courses', 'students', 'choose', 'Track', '2', 'Russian', 'Culture', 'Civilization', 'program', '?']","['Track', '2', 'Russian', 'Culture', 'Civilization', 'program', ',', 'students', 'choose', 'Intermediate', 'Ukrainian', '(', 'UKR', '3', ')', 'Level', 'One', 'Polish', '(', 'POL', '1', ')', ',', 'Level', 'One', 'Polish', 'B', '(', 'POL', '2', ')', ',', 'Level', 'Two', 'Polish', '(', 'POL', '3', ')', '.']"
"['many', 'credits', 'must', 'students', 'choose', 'select', 'Track', '2', ',', '3', ',', '4', 'Russian', 'Culture', 'Civilization', 'program', '?']","['students', 'choose', 'Track', '2', ',', '3', ',', '4', 'Russian', 'Culture', 'Civilization', 'program', ',', 'must', 'select', '9', 'credits', 'departmental', 'list', 'courses', 'East', 'European', 'area', 'studies', '.']"
"['role', 'academic', 'advising', 'university', ""'s"", 'academic', 'advising', 'program', '?']","['role', 'academic', 'advising', 'university', ""'s"", 'academic', 'advising', 'program', 'help', 'advisees', 'identify', 'achieve', 'academic', 'goals', ',', 'promote', 'intellectual', 'discovery', ',', 'encourage', 'students', 'take', 'advantage', 'educational', 'opportunities', 'classroom', '.']"
"['main', 'objective', 'university', ""'s"", 'academic', 'advising', 'program', '?']","['main', 'objective', 'university', ""'s"", 'academic', 'advising', 'program', 'help', 'advisees', 'identify', 'achieve', 'academic', 'goals', ',', 'promote', 'intellectual', 'discovery', ',', 'encourage', 'students', 'become', 'self-directed', 'learners', 'decision', 'makers', '.']"
"['Minor', 'Code', 'Russian', 'Culture', 'Civilization', 'program', '?']","['Minor', 'Code', 'Russian', 'Culture', 'Civilization', 'program', '1239', '.']"
"['students', 'find', 'information', 'academic', 'advising', 'University', 'Park', 'Liberal', 'Arts', '?']","['Students', 'find', 'information', 'academic', 'advising', 'University', 'Park', 'Liberal', 'Arts', 'contacting', 'Liberal', 'Arts', 'Academic', 'Advising', '814-865-2545', 'visiting', 'Meet', 'Academic', 'Advisers', 'web', 'page', '.']"
"['phone', 'number', 'Liberal', 'Arts', 'Academic', 'Advising', 'University', 'Park', '?']","['phone', 'number', 'Liberal', 'Arts', 'Academic', 'Advising', 'University', 'Park', '814-865-2545', '.']"
"['students', 'find', 'Advising', 'Policy', 'university', '?']","['Students', 'find', 'Advising', 'Policy', 'university', 'reading', 'Senate', 'Policy', '32-00', 'Senate', 'website', '.']"
"['contact', 'details', 'Germanic', 'Slavic', 'Languages', 'Literatures', 'department', '?']","['contact', 'details', 'Germanic', 'Slavic', 'Languages', 'Literatures', 'department', 'follows', ':', '442', 'Burrowes', 'Building', ',', 'University', 'Park', ',', 'PA', '16802', ',', '814-865-5481', ',', 'psugerman', '@', 'psu.edu', ',', 'http', ':', '//german.la.psu.edu/slavic', '.']"
